id,category,image,title,date,location
art-1,art,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/112/494/m15qy9t4uwijhgyy3oie6js7evkf5z6x_800x420^.jpg,【開放式結局TFAM放映計畫】,2024-10-12 ~ 2025-06-22,台灣，台北市
art-2,art,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/112/980/9ybn6dry48lahlbgnudj17jp1ugths0q_800x420^.jpg,【新宮晉宇宙—風之旅人】,2024-10-12 ~ 2025-02-17,台灣，台北市
art-3,art,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/112/934/5h7c4yx37h6ca12stblfe7y8pz11wex9_800x420^.jpg,【喧囂的孤獨臺灣膠彩百年尋道】,2024-10-12 ~ 2025-02-02,台灣，台北市
art-4,art,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/112/886/u0uq9s3g3fdas8qupaz2slt0en7hymw2_800x420^.jpg,"【Destined】Fu Tso-Hsin, Lourdes Navarro",2024-10-12 ~ 2024-12-22,台灣，台中市
art-5,art,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/113/026/mkbgi2bj31tarldpm3ayrq46qcmraw7f_800x420^.jpg,【曾霆羽《花嶼・海濱》】,2024-10-12 ~ 2024-11-17,台灣，台北市
art-6,art,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/112/851/0fe8u8d7oln33sttwl9qbj9h8zbt64bh_800x420^.jpg,【逐光者】翁明哲創作展,2024-10-12 ~ 2024-11-17,台灣，台北市
art-7,art,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/112/520/ho6fj1z1oivnebep01jpd6netzmzuq13_800x420^.jpg,【In the gym / On the road】黃海欣雙個展,2024-10-12 ~ 2024-11-16,台灣，台北市
art-8,art,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/112/933/23a6hy8zyfqodbwsnq00mtv50zw4gz1r_800x420^.jpg,【日常與我們的小時代】Daily Lives ＆ Our Little Times,2024-10-12 ~ 2024-11-10,台灣，台北市
art-9,art,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/112/870/6nmlodrawfgh7bepczy323so5rm2suyq_800x420^.jpg,【矽晶小夜曲－許家維個展】尊彩藝術中心,2024-10-12 ~ 2024-11-10,台灣，台北市
art-10,art,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/112/918/qx6lymodle7tec8odhw4bjgk78aqdh7n_800x420^.jpg,【安 土 草 多 ． Azuchi Sota ．玻 璃 個 展】山 谷 凝 雪 的 凜 光 ． 10.12-11.09 ． 森 初 藝 廊,2024-10-12 ~ 2024-11-09,台灣，台南市
art-11,art,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/112/940/ttu5xv1cwpau2eb8nz6dvffn0q27asbn_800x420^.jpg,【山川草木悉皆成佛 | Theater of Life － 34°44’N 136°01’E －】,2024-10-12 ~ 2024-11-09,台灣，台北市
art-12,art,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/112/774/lpuizeu5i0xfung5rtse6bb2azmtiy03_800x420^.jpg,【Vanishing Point 消失點】Luke M Walker 個展,2024-10-12 ~ 2024-11-03,台灣，台中市
art-13,art,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/112/844/oqch9gys1n5ewu07x8uvg0eswtmiwepc_800x420^.jpg,【LITTLE BY LITTLE 一點一點】謝宜庭個展,2024-10-12 ~ 2024-11-02,台灣，台北市
art-14,art,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/112/806/16za0d4rn0c0gkp7bgpw9w6ali3b1yoy_800x420^.jpg,【四季狂想曲-佐垣慶多個展 (10.16-11.24.2024)】Seasons Madness - Keita Sagaki Solo Show (10.16-11.24.2024),2024-10-16 ~ 2024-11-24,台灣，台北市
art-15,art,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/112/979/wmpcdyk3tnznhkywo20z0nkos6ejt0ew_800x420^.jpg,【科技賦格—數位環境的永續及想像】2024堤頂之星2.0年度入選展,2024-10-17 ~ 2024-11-26,台灣，台北市
art-16,art,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/112/688/e46ct6bzlirpay7bhcfdlbaqud0o84e4_800x420^.jpg,【淨圓】蔡忠南陶展,2024-10-17 ~ 2024-10-30,台灣，台北市
art-17,art,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/112/080/olzxq5ydvml2cjxdtvgijr4p9ne4788o_800x420^.jpg,【2024秋天藝術節 米洛．勞《安蒂岡妮在亞馬遜》】,2024-10-18 ~ 2024-10-20,台灣，台北市
art-18,art,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/112/753/4yr3pvmcmjlwu4mfq91ha8p20j2lbcvi_800x420^.jpg,【2024 WHATZ ART Curators Fair 】國璽藝術GSA Gallery｜展間Room 810｜香港JW萬豪酒店,2024-10-18 ~ 2024-10-20,國際，香港
art-19,art,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/112/867/dsu5ocqy7npb1uok39pcu4nztr25pg90_800x420^.jpg,【我與「東方畫會」的那些人、那些故事】走回歷史，一步一步真實,2024-10-19 ~ 2025-01-25,台灣，台中市
art-20,art,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/112/706/2cvlkh64ushneemctgnr0ujb92hity36_800x420^.jpg,【石黛因依-周宸個展  Cyan Black Fusion - Chou Chen Solo Exhibition】,2024-10-19 ~ 2024-12-24,台灣，台北市
art-21,art,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/112/527/pmyrjslkwci4go711gajkcbjza4ac6rq_800x420^.jpg,【授粉】臺荷當代藝術跨文化對話,2024-10-19 ~ 2024-12-15,台灣，台南市
art-22,art,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/112/952/0302j4tbouma6d1mq6cahp4sf97m01j3_800x420^.jpg,【漫生 Endless】賴孝哲創作個展,2024-10-19 ~ 2024-11-03,台灣，新北市
art-23,art,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/112/817/0focjx6pkjumms7epb4vlsr5ak6dmmex_800x420^.jpg,【凝視 你的樣子 】寫真咖啡館五年展,2024-10-19 ~ 2024-11-03,台灣，台北市
art-24,art,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/112/961/elvz6y22tn4ski67ttyaf2igz1trpibk_800x420^.jpg,【無聲的陪伴】郭瀞鎂個展,2024-10-19 ~ 2024-11-02,台灣，高雄市
art-25,art,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/112/864/z073ycaellvubemjujos8ynxgiwvwtjz_800x420^.jpg,【2024 台北藝術週 類比記憶 | 訊號源 : 童年 一 黃琳穎個展  2024.10.19 ~ 10.31】2024 Art Week  Analog Memories | Signal Source : Childhood Lin Ying HUANG Solo Exhibition,2024-10-19 ~ 2024-10-31,台灣，台北市
art-26,art,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/111/188/yz9heou3jpufmnz8br3lzisi0ewq1cxj_800x420^.jpg,【「狂詩曲」日台舞踏交流 2024 】“Manimani” Japan-Taiwan Butoh Dance Exchange 2024,2024-10-19 ~ 2024-10-20,台灣，台北市
art-27,art,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/112/692/o694twcqn5eu37ekqjy69jq86satrsy3_800x420^.jpg,【CIT24國際策展論壇】演變的風景──「危機即轉機」時代裡的當代策展,2024-10-19 ~ 2024-10-20,台灣，台北市
art-28,art,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/112/082/qgsrhe9a1y1yitf6lay4oqbw130d8kfd_800x420^.jpg,【伊蓮．葛莉茉鋼琴獨奏會】,2024-10-23 ~ 2024-10-23,台灣
art-29,art,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/113/025/egr8bsz96891dx3s1sfu87ok167mlubk_800x420^.jpg,【Le Chat Taipei】George Bayer創作個展,2024-10-24 ~ 2024-11-02,台灣，台北市
art-30,art,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/112/977/0a9ijlckudnsortwzp49x98v5aaxo5mx_800x420^.jpg,【【ART TAIPEI 2024】 丹之寶 Tansbao G07】2024 台北國際藝術博覽會,2024-10-24 ~ 2024-10-29,台灣，台北市
art-31,art,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/112/812/n9ax2c6qactq731xjbyb6ymx1iro7gjz_800x420^.jpg,【2024 ART TAIPEI 台北國際藝術博覽會】國璽藝術GSA Gallery｜展位Booth F19,2024-10-24 ~ 2024-10-28,台灣，台北市
art-32,art,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/112/916/c15i3u13cmdvompv29e5kvzpoe1mz47r_800x420^.jpg,【mirror mirror 程予希個展】Lyan CHEN’s solo exhibition,2024-10-25 ~ 2024-11-08,台灣，台北市
art-33,art,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/112/808/k59haabcrjpwqxxbc03auhyqf8yfqglu_800x420^.jpg,【「玉藏無盡」特展　盡述翠玉的今古珍奇】JADEGIA玉世家的新境與典藏　10月隆重登場,2024-10-25 ~ 2024-10-31,台灣，台北市
art-34,art,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/112/890/621s80vgx3584plrvq2u3etcwom2qi0r_800x420^.jpg,【EO4 異雲書屋】2024 ART TAIPEI 台北國際藝術博覽會,2024-10-25 ~ 2024-10-28,台灣，台北市
art-35,art,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/112/462/bq5n9k77tq9zz52a4see622zk7c43w0m_800x420^.jpg,【台北國際藝術博覽會 H11 展位｜美柔汀之戀】ART TAIPEI Booth H11,2024-10-25 ~ 2024-10-28,台灣，台北市
art-36,art,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/112/083/2rx8zbpxeqnmjdta5xufk2rmiumwh1zs_800x420^.jpg,【基頓．克萊曼與波羅的海絃樂團】,2024-10-25 ~ 2024-10-25,台灣，台北市
art-37,art,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/112/805/ie1xsm8rrnshzhjz2gwt6xou0vfpc4bi_800x420^.jpg,【元氣・淋漓—人間90莊喆特展】,2024-10-26 ~ 2025-04-06,台灣，台中市
art-38,art,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/112/669/wa07u7drog16mfcw48c4xmtwfbhrvv53_800x420^.jpg,【國內唯一＆最大古董藝術展】2024台北文華藝博10/25磅礴登場,2024-10-26 ~ 2024-10-28,台灣，台北市
art-39,art,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/112/888/s0igo5vh2yzqwkm35no414ltpnmjvezd_800x420^.jpg,【藝術如何有事？】金車文藝講堂徐蘊康,2024-10-26 ~ 2024-10-26,台灣，台北市
art-40,art,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/113/054/38zwqsbyh541vgrn2ab12h9aecokqdn3_800x420^.jpg,【永生動物園 Eternal Zoo】新媒體藝術劇場,2024-11-01 ~ 2024-11-02,台灣，台北市
art-41,art,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/113/041/r6kruzbcvimyq5hwsefu0e011zy4x26b_800x420^.jpg,【城市神話】崔旴嵐 靈魂機械煉金術,2024-11-02 ~ 2025-01-05,台灣，台北市
art-42,art,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/112/782/zesd8i1jed6kcsh0gxrbt0rkr3dcsau9_800x420^.jpg,【美濃水圳漫旅藝術節】,2024-11-08 ~ 2024-10-17,台灣，高雄市
art-43,art,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/112/999/hwufaeq4ilirq8v7yqegzdl7vdsmwnng_800x420^.jpg,【GDAP Special 漁網hî-bāng 】失智據點與銀青創作聯展/ 策展人 - 許乃文,2024-11-09 ~ 2024-11-30,台灣，台北市
art-44,art,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/112/722/1tdxgqsybd3653k95txbv0lvrg2one76_800x420^.jpg,【念頭】葉竹修雕塑創作展,2024-11-16 ~ 2025-01-05,台灣，新北市
art-45,art,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/112/958/5xuhzg5iy03d5y12sem3a3mkg71kyx6g_800x420^.jpg,【2024苗北藝術工坊】耶誕玩手作,2024-12-01 ~ 2024-12-15,台灣，苗栗縣
art-46,art,https://d2onjhd726mt7c.cloudfront.net/images/datas/000/112/745/pp3axp0cqz4wqh5g8oeto7a6st5psx1y_800x420^.jpg,【草間彌生的「軌跡」與「奇跡」——W Collection ＆ More 1951-2005】,2024-12-21 ~ 2025-05-04,台灣，台北市
