id,category,image,title,date
competition-1,competition,https://cdn.bountyhunter.co/file/cae19cf4-82d5-47a7-a584-ea60b7a5a319.png?size=640,Say My Name!命名小天才!高雄車站天棚命名徵件活動,還有 15 天
competition-2,competition,https://cdn.bountyhunter.co/file/693756ab-897f-4642-9e04-630c6c10698c.jpg?size=640,潛進AI 永續未來 2024年土地銀行校園金融創意挑戰賽,還有 13 天
competition-3,competition,https://cdn.bountyhunter.co/file/157d9efd-26a6-42cd-831b-cf959fe1af74.png?size=640,Red Bull Basement 用創新點子改變世界,還有 19 天
competition-4,competition,https://cdn.bountyhunter.co/file/c6531ed9-9316-4852-a1f5-b6df3a5e799c.png?size=640,Cardif InsurHack 第二屆法國巴黎人壽校園黑客松商業競賽,還有 19 天
competition-5,competition,https://cdn.bountyhunter.co/file/c207e35a-d2e5-4ed4-820b-be9906f250b8.png?size=640,POST 真正郵影！行動郵局APP影音創作暨AI行銷科技競賽活動,還有 19 天
competition-6,competition,https://cdn.bountyhunter.co/file/805dcc26-f030-4b9e-a4a4-1ab9edae6de2.png?size=640,2024 第五屆《大和獎》微電影徵選及感人實事分享,還有 9 個月
competition-7,competition,https://cdn.bountyhunter.co/file/4f320847-d2b4-43b5-86dc-22693a7a12b5.jpg?size=640,AI郵局 智創新局 - 2024 郵政大數據競賽,還有 2 天
competition-8,competition,https://cdn.bountyhunter.co/file/d4ce8a88-d146-4115-bbcd-ed1fb7c07e69.png?size=640,因您而來 成就無限 2024年臺灣中小企業銀行校園金融科技創意挑戰賽活動辦法,還有 大約 1 個月
competition-9,competition,https://cdn.bountyhunter.co/file/7f16d1f3-8a24-4ac8-8111-f5c7cd13907d.jpg?size=640,2024和泰MaaS黑客松：移動新體驗、想像無極限,還有 8 天
competition-10,competition,https://cdn.bountyhunter.co/file/9c393d6b-767d-429b-93f8-81d2afa39777.png?size=640,2024第四屆大數據精準行銷盃競賽,還有 大約 1 個月
competition-11,competition,https://cdn.bountyhunter.co/file/04913e2c-c984-410a-8d9a-b2ae2a24bd2e.png?size=640,2024年第九屆新創盃全球大專校院暨高中職創意創新創業企劃競賽,還有 18 天
competition-12,competition,https://cdn.bountyhunter.co/file/e958fc68-9cb7-4504-b64c-3e7acff8c366.jpg?size=640,【日立冷氣】夢想成徵計畫 - 有溫度 徵幸福,還有 8 天
competition-13,competition,https://cdn.bountyhunter.co/file/43096537-6f03-43f2-badb-45f7e82bce52.jpg?size=640,LINE FRESH 2024 校園競賽,還有 9 天
competition-14,competition,https://cdn.bountyhunter.co/file/e3be10c6-e45a-4544-a48e-7920a41e6272.png?size=640,2024全國大專院校遊戲點子設計創意競賽-芸芸,還有 2 天
competition-15,competition,https://cdn.bountyhunter.co/file/46523d4f-92c1-4afc-a721-d799e1b2222e.jpg?size=640,2024創業個案競賽,還有 大約 1 個月
competition-16,competition,https://cdn.bountyhunter.co/file/9c8f08c4-313c-4fe4-8e17-e1aa3dd9ae2f.jpg?size=640,2024賣吶炬達人創新行銷競賽,還有 大約 1 個月
competition-17,competition,https://cdn.bountyhunter.co/file/86903685-49b9-41a1-9102-760ac454bc8d.jpg?size=640,2024全球品牌策劃與設計大賽,還有 4 天
competition-18,competition,https://cdn.bountyhunter.co/file/29dc1d2b-c079-415f-a0fb-d6e90ef0e0d6.png?size=640,正修科大 2024全國大專院校學生創意與創業競賽,還有 大約 1 個月
competition-19,competition,https://cdn.bountyhunter.co/file/82b4418f-2b56-46dc-a64a-b2b738700003.png?size=640,<友二屆>校園設計大賽 科技友瘋狂,還有 3 個月
competition-20,competition,https://cdn.bountyhunter.co/file/ed75741a-3685-4e9a-9ff4-c9dde03e14c5.jpg?size=640,2024第十二屆全國一週店長企劃競賽,還有 29 天
competition-21,competition,https://cdn.bountyhunter.co/file/69285962-ff4b-4821-b61f-8f1b35b64900.jpg?size=640,Show出你的『微』創意 - 微生物應用創新競賽,還有 25 天
competition-22,competition,https://cdn.bountyhunter.co/file/e515c852-7516-4956-a883-283da3375d61.png?size=640,2024 扶創盃全國青少年智慧商務創業創新競賽,還有 1 天
competition-23,competition,https://cdn.bountyhunter.co/file/f8033fa9-99cf-4c6c-9c8f-6fab9ac0069b.jpg?size=640,第三屆「青春靚點子」全國學生創業挑戰賽,還有 11 天
competition-24,competition,https://cdn.bountyhunter.co/file/a4aa7333-e041-4c77-83f0-7b037201a619.png?size=640,2024永續智慧創新黑客松競賽,還有 16 天
