id,category,image,title,date,location
lecture-1,lecture,https://cultureexpress.taipei/UploadPlugin?file=%2Fw6lriPeTD4Ry1335WB01yZW%2B8tQNRXFJpwPm%2FpPEhlK0U7eHQPkTBsXMPa07KUB4hbTD%2BLYFFJUsCq1%2BWdRUBc7ZBkS%2F6qc6PupBA2dRss%3D,【Flip Play 2024文山藝術季：講座】《特技肢體這條路—演出經驗分享》,113/10/12 ~ (六) ~ 02:00-03:50,永安藝文館
lecture-2,lecture,https://cultureexpress.taipei/UploadPlugin?file=%2Fw6lriPeTD4Ry1335WB013GpkO3X4yykzQy7A%2FeG2nggXp6gou03k%2FU22Zmx3D7FGNLiCJHeUCdf6wDaz6fZ3NQahDscDPspQCpLi01Oz44%3D,Pen tw品味講座 chapter 1 人生夢想清單—南北極探險圓夢,113/10/16 ~ (三) ~ 19:00-21:00,NOKE忠泰樂生活 3F 大階梯
lecture-3,lecture,https://cultureexpress.taipei/UploadPlugin?file=%2Fw6lriPeTD4Ry1335WB019aDoLioWRRqBeufjrtIPlws26u4kj90Rq4%2B1OnloSBoyEnpFo9jBG7TRqXH%2FL%2F0ch9J1rO6BCj%2BnEGdo6heac4%3D,【藝術下午茶】成志偉、洪東標、郭明福、簡忠威《山林創作經驗談》,113/10/16 ~ (三) ~ 14:30-16:30,臺北市藝文推廣處  藝文大樓一樓演藝廳
lecture-4,lecture,https://cultureexpress.taipei/UploadPlugin?file=%2Fw6lriPeTD4Ry1335WB01%2BH0z44kBpt3UTb8pyL4uCxBA4E4Ixf%2BRDVnbSn0sw%2FmXyvsG%2BefCuTp33NdXQKfJuIXDSV5ckIToeFAG8AdW7k%3D,霧社Remix影展：部落集體記憶與歷史重塑 --《霧社‧川中島》放映講座,113/10/17 ~ (四) ~ 14:00-16:30,國立臺灣大學圖書館 B1國際會議廳
lecture-5,lecture,https://cultureexpress.taipei/UploadPlugin?file=%2Fw6lriPeTD4Ry1335WB011IuzayfgUqzDphq0hGPlE7i168SyWffhJ2gmnPCDihhJCQoevhtKZjgSntNN5D58A%3D%3D,2024臺北眷村文化節「流行勿忘我」,113/10/05 ~ (六) ~ 113/10/27 ~ (日),2024臺北眷村文化節
lecture-6,lecture,https://cultureexpress.taipei/UploadPlugin?file=%2Fw6lriPeTD4Ry1335WB011LnyosjY03aihzlYGb4S%2B7rj0mGIVWY%2Fd1n8kQWa8xJieDlv6oanVzMsVvAtc8J79F%2BsTFDW8UHNIiiCd3eWM4%3D,【周末輕鬆講】Hally Chen《漫步20世紀台日兩地咖啡時光》,113/10/19 ~ (六) ~ 14:30-16:30,臺北市藝文推廣處  藝文大樓一樓演藝廳
lecture-7,lecture,https://cultureexpress.taipei/UploadPlugin?file=%2Fw6lriPeTD4Ry1335WB01%2BZ34OYjPtPi2NX0bbO%2F%2FKqi0JpjcvXIYqQDE8P5rkrhToQmKhACwu6pyjmukcsGvW0vK7hfJgnqzMO8POoRyF4%3D,浮光現場：霧社Remix影展,113/10/03 ~ (四) ~ 113/11/02 ~ (六),國立臺灣大學圖書館、臺灣原住民族圖書資訊中心
lecture-8,lecture,https://cultureexpress.taipei/UploadPlugin?file=%2Fw6lriPeTD4Ry1335WB0195e24Tw2VgjAwJpMBj6VYBDdSSZAiHLXhduSuNCRCi3iBUTIMGfqNMyK3g2OHxUZZIZVUnUzPh9zI5S4SP%2FAdQ%3D,【免費講座】親子連結的力量,113/10/22 ~ (二) ~ 113/11/19 ~ (二),純青基金會
lecture-9,lecture,https://cultureexpress.taipei/UploadPlugin?file=%2Fw6lriPeTD4Ry1335WB0161VV58O1296lVWb2SdO2vvU7R0oKLqpYvZPX5IAegIO3Uy%2BAldzQ42izHDQVQuVYLBj74RdDrxLYy7ZDaKMrW8%3D,【周末輕鬆講】老屋顏創辦人楊朝景《台日老屋再生》,113/10/26 ~ (六) ~ 14:30-16:30,臺北市藝文推廣處  藝文大樓一樓演藝廳
lecture-10,lecture,https://cultureexpress.taipei/UploadPlugin?file=%2Fw6lriPeTD4Ry1335WB011VUPoF2fDRHnI89nygcKroaqnjwnzVPNEPkZr5NdyDEKN%2FlLCkPfKAjksQcIlDS3ujvYMQqh9kQo%2FX7oRv0wSw%3D,【藝文講座】音樂劇的歌聲舞影～歌曲篇,113/10/26 ~ (六) ~ 14:00-16:00,林建生紀念圖書館
