id,category,image,title,date,location
music-1,music,https://vfms.npac-ntch.org/files/vfms/54f12f027914d4759fe496d53cb63b9bbbc370d9.jpeg,2024秋天藝術節《我們在此相遇：還在水裡》音樂影像現場,2024/10/11 - 2024/10/13,國家兩院廳
music-2,music,https://vfms.npac-ntch.org/files/vfms/99af4daf54d75d3125b51dd6e2e077a50183eac4.jpeg,三缺一劇團《陌生海》,2024/10/18 - 2024/10/20,國家兩院廳
music-3,music,https://vfms.npac-ntch.org/files/vfms/c72a10dbf171277b6cf294e8bdb1112c8c3b5e8d.jpeg,2024秋天藝術節 米洛．勞《安蒂岡妮在亞馬遜》,2024/10/18 - 2024/10/20,國家兩院廳
music-4,music,https://vfms.npac-ntch.org/files/vfms/754a253f8da489de06119fc2cfaa9d095feac349.jpeg,伊蓮．葛莉茉鋼琴獨奏會,2024/10/23,國家兩院廳
music-5,music,https://vfms.npac-ntch.org/files/vfms/31a0baa163094d33e156f80130b4038a268d1d76.jpeg,基頓．克萊曼與波羅的海絃樂團,2024/10/25,國家兩院廳
music-6,music,https://vfms.npac-ntch.org/files/vfms/13eedae96bfdc65cbd5913f2a601554003363aca.jpeg,2024秋天藝術節 吉賽兒．韋安《群浪》,2024/11/01 - 2024/11/03,國家兩院廳
music-7,music,https://vfms.npac-ntch.org/files/vfms/934a49fb64e0e9871a6f5016b6bb90f38e030ef1.jpeg,2024秋天藝術節 窮劇場《暗夜．腹語．鬼托邦》,2024/11/08 - 2024/11/10,國家兩院廳
music-8,music,https://vfms.npac-ntch.org/files/vfms/becbed16ab7af21a1c93325e4e017a96ce6f5b23.jpeg,2024秋天藝術節 馬可．達席爾瓦．費雷拉《狂履》,2024/11/08 - 2024/11/10,國家兩院廳
music-9,music,https://vfms.npac-ntch.org/files/vfms/001ece93ba055437ff2ec8d0d93bd8b586f698d4.jpeg,唐美雲歌仔戲團《孟婆客棧：冥星雙飛俠》,2024/11/14 - 2024/11/17,國家兩院廳
music-10,music,https://vfms.npac-ntch.org/files/vfms/1513e08af11e1124af35d9f1391b60eb3c7f61d5.jpeg,力晶2024藝文饗宴 鋼琴詩人克里斯提安．齊瑪曼,2024/11/20 - 2024/11/21,國家兩院廳
music-11,music,https://vfms.npac-ntch.org/files/vfms/987167d891ef077c367131ec03622ae680a2b438.jpeg,2024秋天藝術節 壞鞋子舞蹈劇場《島嶼恍惚》,2024/11/22 - 2024/11/24,國家兩院廳
music-12,music,https://vfms.npac-ntch.org/files/vfms/fcd874d3fd4167fb63e7fba9d06a363ab780af84.jpeg,2024秋天藝術節 維帢亞．阿塔瑪《捉迷藏》（尋找導演的七個那個）,2024/11/29 - 2024/12/01,國家兩院廳
music-13,music,https://vfms.npac-ntch.org/files/vfms/780c85498a3b68313371fa1a09d979303b1b10e1.jpeg,2024秋天藝術節 柏格曼劇團《羊之歌》,2024/11/29 - 2024/12/01,國家兩院廳
music-14,music,https://vfms.npac-ntch.org/files/vfms/398939a0ee4cb5bc2ac3a0907130ec6544c388c1.jpeg,力晶2024藝文饗宴 賽門．拉圖爵士與巴伐利亞廣播交響樂團,2024/12/01 - 2024/12/02,國家兩院廳
