id,category,image,title,date,location
sport-3,sport,https://ctrunstorage.blob.core.windows.net/images/EventMain/0820-TERRY%20FOX%20RUN_361x181511.jpg,Terry Fox Run x TCS || 抗癌公益路跑,2024年10月26日 (星期六),新北微風運河廣場
sport-9,sport,https://ctrunstorage.blob.core.windows.net/images/EventMain/%E9%AB%98%E9%9B%84_361x181-BNs788.jpg,2025 藍色小精靈路跑 || 高雄場,2025年2月9日 (星期日),高雄時代大道(可使用動滋券)
sport-13,sport,https://ctrunstorage.blob.core.windows.net/images/EventMain/500X250-100971.jpg,2024 || 屏東馬拉松,2024年12月22日 (星期日),屏東縣立田徑場
sport-27,sport,https://ctrunstorage.blob.core.windows.net/images/EventMain/%E4%B8%BB%E8%A6%96%E8%A6%BA_361x181-BNs687.jpg,2024 眾力＋速度 || 親子路跑,2024年10月19日 (星期六),新北微風運河廣場
music-1,music,https://vfms.npac-ntch.org/files/vfms/54f12f027914d4759fe496d53cb63b9bbbc370d9.jpeg,2024秋天藝術節《我們在此相遇：還在水裡》音樂影像現場,2024/10/11 - 2024/10/13,國家兩院廳
music-4,music,https://vfms.npac-ntch.org/files/vfms/754a253f8da489de06119fc2cfaa9d095feac349.jpeg,伊蓮．葛莉茉鋼琴獨奏會,2024/10/23,國家兩院廳
movie-13,movie,https://www.vscinemas.com.tw/vsweb/upload/film/film_20241001009.jpg,為我辦一場西式的喪禮,2024-10-25,
movie-24,movie,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240530001.jpg,海洋奇緣2,2024-11-28,
competition-1,competition,https://cdn.bountyhunter.co/file/cae19cf4-82d5-47a7-a584-ea60b7a5a319.png?size=640,Say My Name!命名小天才!高雄車站天棚命名徵件活動,還有 15 天,
competition-3,competition,https://cdn.bountyhunter.co/file/157d9efd-26a6-42cd-831b-cf959fe1af74.png?size=640,Red Bull Basement 用創新點子改變世界,還有 19 天,
movie-1,movie,https://www.vscinemas.com.tw/vsweb/upload/film/film_20241008001.jpg,默殺：無聲之地,2024-10-18,
lecture-1,lecture,https://cultureexpress.taipei/UploadPlugin?file=%2Fw6lriPeTD4Ry1335WB01yZW%2B8tQNRXFJpwPm%2FpPEhlK0U7eHQPkTBsXMPa07KUB4hbTD%2BLYFFJUsCq1%2BWdRUBc7ZBkS%2F6qc6PupBA2dRss%3D,【Flip Play 2024文山藝術季：講座】《特技肢體這條路—演出經驗分享》,113/10/12 ~ (六) ~ 02:00-03:50,永安藝文館
lecture-2,lecture,https://cultureexpress.taipei/UploadPlugin?file=%2Fw6lriPeTD4Ry1335WB013GpkO3X4yykzQy7A%2FeG2nggXp6gou03k%2FU22Zmx3D7FGNLiCJHeUCdf6wDaz6fZ3NQahDscDPspQCpLi01Oz44%3D,Pen tw品味講座 chapter 1 人生夢想清單—南北極探險圓夢,113/10/16 ~ (三) ~ 19:00-21:00,NOKE忠泰樂生活 3F 大階梯
movie-23,movie,https://www.vscinemas.com.tw/vsweb/upload/film/film_20240502004.jpg,獅子王：木法沙,2024-12-19,
